com_nam,lin_ima,rep_typ,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb
 ADDIVINOLA COMMITTEE; THE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00523332&tabIndex=3,Q1,S,P,Q,6 LIBERTY SQUARE #11,BOSTON,MA,2109.00,ANGELICA ADDIVINOLA,C00523332,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103331.00,103331.00,58047.00,,43466.00,43555.00,,S4MA00242,,,,,,,,,,,,,,,,,,,,,
 RICHARD BURR COMMITTEE; THE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00385526&tabIndex=3,Q1,S,P,Q,POST OFFICE BOX 5928,WINSTON-SALEM,NC,27113.00,TIMOTHY W GUPTON,C00385526,2020.00,2500.00,50.00,2550.00,,,,,,2550.00,,,,,,,,,,,,2.47,2842.49,,19046.29,,,,290.02,,,,,,,,,,,,,,,,,,,19046.29,2550.00,18756.27,247341.91,231138.11,,,43466.00,43555.00,,S4NC00089,,,,,,,,,,,,,,,,,,,,,
A WHOLE LOT OF PEOPLE FOR GRIJALVA CONGRESSIONAL COMMITTEE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00374058&tabIndex=3,Q1,H,P,Q,PO BOX 1242,TUCSON,AZ,85702.00,"CASTILLO, MAYA",C00374058,2020.00,50525.00,12105.48,62630.48,50.00,,22500.00,,,85130.48,50.00,,,,,,,,,,,83.03,85703.61,,37822.02,,,,490.10,,,,,,,,,,,,,,,,,600.00,,38472.02,85080.48,37331.92,38155.74,85387.33,4015.59,,43466.00,43555.00,,H2AZ07070,,,,,,,,,,,,,,,,,,,,,
AARON SCHEINBERG FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00650077&tabIndex=3,TER,H,P,T,PO BOX 567,HEDGESVILLE,WV,25427.00,"SCHEINBERG, JERRY",C00650077,2020.00,,,,60051.85,,4000.00,,,4000.00,60051.85,,2000.00,,,,2000.00,,,,,,4000.00,,3715.50,,,,,,,,,,,,,,,,,,,,,,,65767.35,-56051.85,3715.50,61767.35,,,,43466.00,43503.00,,H8WV02107,,,,,,,,,,,,,,,,,,,,,
ADAM JENNINGS FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00646570&tabIndex=3,Q1,H,P,Q,140 W POINT CIR,EXCELSIOR,MN,55331.00,"JENNINGS, MEGAN",C00646570,2020.00,,,,,,,,,,,,8625.00,,,,8625.00,,,,,,,,195.38,,,,,,,,,,,,,,,,,,,,,,,8820.38,,195.38,9225.86,405.48,179589.68,,43466.00,43555.00,,H8MN03150,,,,,,,,,,,,,,,,,,,,,
ADAM SMITH FOR CONGRESS COMMITTEE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00304709&tabIndex=3,Q1,H,P,Q,PO BOX 578,RENTON,WA,98057.00,"PETTERSON, JAY",C00304709,2020.00,50400.00,2445.00,52845.00,,,99200.00,,,152045.00,,,,,,,,,,,,,152045.00,,60087.67,,,,,,,,,,,,,,,,,,,,,4290.57,,64378.24,152045.00,60087.67,191776.67,279443.43,,,43466.00,43555.00,,H6WA09025,,,,,,,,,,,,,,,,,,,,,
ADAMS FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00580282&tabIndex=3,Q1,H,P,Q,2200 NW 159TH STREET SUITE 400-516,CLIVE,IA,50325.00,"WILLIAMS, CHAY",C00580282,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4168.95,,43466.00,43555.00,,H6IA03235,,,,,,,,,,,,,,,,,,,,,
ADRIAN GARCIA FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00599944&tabIndex=3,TER,H,P,T,705 SUE ST.,HOUSTON,TX,77009.00,"GARCIA, MONICA",C00599944,2020.00,,,,,,,,,,,,,,,,,,,,,,,,13927.97,,,,,,,,,,,,,,,,,,,,,,,13927.97,,13927.97,17654.76,3726.79,,,43466.00,43555.00,,H6TX29064,,,,,,,,,,,,,,,,,,,,,
ADRIAN SMITH FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00412890&tabIndex=3,Q1,H,P,Q,1126 AVENUE A STE 6,SCOTTSBLUFF,NE,693613563.00,"GOMPERT, LENORA S MRS.",C00412890,2020.00,29300.00,4692.00,33992.00,,,95000.00,,,128992.00,,,,,,,,,,,,458.66,131828.52,,75876.93,,,,2377.86,,,,,,,,,,,,,,,,,85250.00,,161126.93,128992.00,73499.07,787577.74,758279.33,,,43466.00,43555.00,,H6NE03115,,,,,,,,,,,,,,,,,,,,,
ADRIENNE BELL 2018,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00639872&tabIndex=3,TER,H,P,T,10223 BROADWAY,PEARLAND,TX,77584.00,"RAYFORD, ANDRET",C00639872,2020.00,,26.00,26.00,25.00,,,,,26.00,25.00,,,,,,,,,,,,26.00,,5101.17,,,,,,,,,,,,,,,,,,,,,,,5126.17,1.00,5101.17,5100.17,,,,43466.00,43485.00,,H8TX14120,,,,,,,,,,,,,,,,,,,,,
ADRIENNE EDWARDS FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00612242&tabIndex=3,Q1,H,P,Q,525 E. SEASIDE WAY #101-C,LONG BEACH,CA,90802.00,"CRUMMITT, GARY",C00612242,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.20,18.20,4665.00,,43466.00,43555.00,,H6CA34229,,,,,,,,,,,,,,,,,,,,,
AFTAB FOR OHIO,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00667519&tabIndex=3,Q1,H,P,Q,PO BOX 713,CINCINNATI,OH,45201.00,"NOLAN, EVAN",C00667519,2020.00,,,,,,,,,,,,,,,,,,,,,,,,4000.00,,,,,,,,,,,,,,,,,,,,,,,4000.00,,4000.00,4026.40,26.40,19974.28,,43466.00,43555.00,,H8OH01118,,,,,,,,,,,,,,,,,,,,,
AJ KERN FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00608422&tabIndex=3,Q1,H,P,Q,PO BOX 199,SARTELL,MN,56377.00,"KERN, JOHN W.",C00608422,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.38,177.38,15842.77,,43466.00,43555.00,,H6MN06165,,,,,,,,,,,,,,,,,,,,,
AJA BROWN FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00672436&tabIndex=3,Q1,H,P,Q,525 E. SEASIDE WAY SUITE 101-C,LONG BEACH,CA,90802.00,"CRUMMITT, GARY",C00672436,2020.00,,,,,,,,,,,,,,,,,,,,,,,,741.75,,,,,,,,,,,,,,,,,,,,,,,741.75,,741.75,859.74,117.99,,,43466.00,43555.00,,H8CA44117,,,,,,,,,,,,,,,,,,,,,
AJA SMITH FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00635854&tabIndex=3,TER,H,P,T,4201 BROCKTON AVE STE 100,RIVERSIDE,CA,92501.00,"TEAMAN, RICHARD",C00635854,2020.00,,,,,,,,,,,,,,,,,,,,,,,,332.72,,,,,,,,,,,,,,,,,,,,,,,332.72,,332.72,332.72,,,,43466.00,43530.00,,H8CA41170,,,,,,,,,,,,,,,,,,,,,
AL FRANKEN FOR SENATE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00570960&tabIndex=3,Q1,S,P,Q,P.O. BOX 583144,MINNEAPOLIS,MN,55458.00,"BORMAN, THOMAS",C00570960,2020.00,,,,1000.00,,,2500.00,,,3500.00,,,,,,,,,,,8075.83,8279.63,,16404.13,,,,203.80,,,,,,,,,,,,,,,,,,,19904.13,-3500.00,16200.33,2649554.81,2637930.31,,,43466.00,43555.00,,S8MN00438,,,,,,,,,,,,,,,,,,,,,
AL LAWSON FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00460261&tabIndex=3,Q1,H,P,Q,400 NORTH ADAMS ST.,TALLAHASSEE,FL,32301.00,"SESSION, JOHNNY FRANK",C00460261,2020.00,485.85,25.00,510.85,,,22000.00,,,22510.85,,,,,,,,,,,,,22565.46,,14569.28,,,,54.61,,,,,,,,,,,,,,,,,,,14569.28,22510.85,14514.67,21449.88,29446.06,36205.08,,43466.00,43555.00,,H0FL02086,,,,,,,,,,,,,,,,,,,,,
ALAN LOWENTHAL FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00498212&tabIndex=3,Q1,H,P,Q,16633 VENTURA BLVD # 1008,ENCINO,CA,91436.00,"LEIDERMAN, JANE",C00498212,2020.00,5700.00,1352.23,7052.23,,,36000.00,,,43052.23,,,,,,,,,,,,214.00,43266.23,,53554.14,,,,,,,,,,,,,,,,,,,,,13500.00,,67054.14,43052.23,53554.14,570459.49,546671.58,11920.00,,43466.00,43555.00,,H2CA00104,,,,,,,,,,,,,,,,,,,,,
ALASKANS FOR DAN SULLIVAN,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00570994&tabIndex=3,Q1,S,P,Q,3705 ARCTIC BLVD #447,ANCHORAGE,AK,99503.00,"KOCH, TIMOTHY A.",C00570994,2020.00,623045.18,1537.00,624582.18,3700.00,,277983.46,,,902565.64,3700.00,,,,,,,192381.92,,,,682.43,1107475.28,,188266.91,,,,11845.29,,,,,,,,,,,,,,,,,,,191966.91,898865.64,176421.62,1126542.66,2042051.03,19659.23,,43466.00,43555.00,,S4AK00214,,,,,,,,,,,,,,,,,,,,,
